Hitter,Swing,Pitcher,Pitch,Result,Diff,Inning,Outs,Home Score,Away Score,OBC,Batter WPA,Pitcher WPA,RBI,Run,Result at neutral park,Game ID,Inning ID,Session,Batter Team,Pitcher Team,Season,bruh
Caleb Aiken,256,Einhorn,543,K,287,T6,1,0,2,0,-0.99%,0.99%,0,0,K,69,780,6,SDP,COL,3,
Benjamin Baeurkemper,201,Einhorn,522,K,321,T6,2,0,2,0,-0.86%,0.86%,0,0,K,69,780,6,SDP,COL,3,
John Bumbus,283,Filet-Mignon Jackson,547,K,264,B6,0,0,2,0,-5.68%,5.68%,0,0,K,69,781,6,COL,SDP,3,
Les Dee-Ache,170,Filet-Mignon Jackson,191,3B,21,B6,1,0,2,0,9.74%,-9.74%,0,1,3B,69,781,6,COL,SDP,3,
Dick McScrotington IV,819,Filet-Mignon Jackson,413,PO,406,B6,1,0,2,3,-10.12%,10.12%,0,0,PO,69,781,6,COL,SDP,3,
Hank Murphy,68,Filet-Mignon Jackson,69,HR,1,B6,2,0,2,3,48.57%,-48.57%,2,1,HR,69,781,6,COL,SDP,3,
Gottlieb Giannopolous,799,Filet-Mignon Jackson,799,HR,0,B6,2,2,2,0,44.96%,-44.96%,1,1,HR,69,781,6,COL,SDP,3,
Joe Watson,783,Artie Ziff,867,BB,84,T1,0,0,0,0,3.67%,-3.67%,0,0,BB,70,782,6,NYM,LAD,3,
Cue Anon,323,Artie Ziff,30,K,293,T1,0,0,0,1,-2.98%,2.98%,0,0,K,70,782,6,NYM,LAD,3,
Johnny Dickshot,782,Artie Ziff,193,PO,411,T1,1,0,0,1,-3.96%,3.96%,0,0,PO,70,782,6,NYM,LAD,3,
Jay Money,401,Artie Ziff,616,K,215,T1,2,0,0,1,-3.52%,3.52%,0,0,K,70,782,6,NYM,LAD,3,
Ted James III,119,Teddy Blisblinne,485,PO,366,B1,0,0,0,0,-2.73%,2.73%,0,0,PO,70,783,6,LAD,NYM,3,
Scotty Smalls,895,Teddy Blisblinne,804,1B,91,B1,1,0,0,0,3.37%,-3.37%,0,0,1B,70,783,6,LAD,NYM,3,
Bo-Horse Jackman,649,Teddy Blisblinne,423,FO,226,B1,1,0,0,1,-4.14%,4.14%,0,0,FO,70,783,6,LAD,NYM,3,
Fernando Cruz,23,Teddy Blisblinne,365,K,342,B1,2,0,0,1,-3.30%,3.30%,0,0,K,70,783,6,LAD,NYM,3,
Boof Boog,292,Artie Ziff,808,LGO,484,T2,0,0,0,0,-2.86%,2.86%,0,0,LGO,70,784,6,NYM,LAD,3,
Markese Rolle,17,Artie Ziff,101,BB,84,T2,1,0,0,0,3.77%,-3.77%,0,1,BB,70,784,6,NYM,LAD,3,
Ethyn Williams,721,Artie Ziff,364,K,357,T2,1,0,0,1,-4.68%,4.68%,0,0,K,70,784,6,NYM,LAD,3,
Dig Bick,555,Artie Ziff,519,HR,36,T2,2,0,0,1,22.21%,-22.21%,2,1,HR,70,784,6,NYM,LAD,3,
Kimberly Jongun,400,Artie Ziff,271,BB,129,T2,2,0,2,0,1.49%,-1.49%,0,0,BB,70,784,6,NYM,LAD,3,
Joe Watson,80,Artie Ziff,407,K,327,T2,2,0,2,1,-2.93%,2.93%,0,0,K,70,784,6,NYM,LAD,3,
Jeorjhe Jerome,333,Teddy Blisblinne,127,FO,206,B2,0,0,2,0,-3.08%,3.08%,0,0,FO,70,785,6,LAD,NYM,3,
Jasmine,593,Teddy Blisblinne,647,2B,54,B2,1,0,2,0,4.82%,-4.82%,0,0,2B,70,785,6,LAD,NYM,3,
Federal Credit Union Boi,550,Teddy Blisblinne,716,FO,166,B2,1,0,2,2,-4.20%,4.20%,0,0,FO,70,785,6,LAD,NYM,3,
Chad Berry,450,Teddy Blisblinne,95,PO,355,B2,2,0,2,2,-5.10%,5.10%,0,0,PO,70,785,6,LAD,NYM,3,
Cue Anon,68,Artie Ziff,618,LGO,450,T3,0,0,2,0,-1.80%,1.80%,0,0,LGO,70,786,6,NYM,LAD,3,
Johnny Dickshot,472,Artie Ziff,140,K,332,T3,1,0,2,0,-1.92%,1.92%,0,0,K,70,786,6,NYM,LAD,3,
Jay Money,389,Artie Ziff,779,K,390,T3,2,0,2,0,-1.38%,1.38%,0,0,K,70,786,6,NYM,LAD,3,
Clipper Charge,420,Teddy Blisblinne,827,RGO,407,B3,0,0,2,0,-3.78%,3.78%,0,0,RGO,70,787,6,LAD,NYM,3,
Ted James III,169,Teddy Blisblinne,954,FO,215,B3,1,0,2,0,-2.85%,2.85%,0,0,FO,70,787,6,LAD,NYM,3,
Scotty Smalls,437,Teddy Blisblinne,438,HR,1,B3,2,0,2,0,12.02%,-12.02%,1,1,HR,70,787,6,LAD,NYM,3,
Bo-Horse Jackman,437,Teddy Blisblinne,398,2B,39,B3,2,1,2,0,4.53%,-4.53%,0,1,2B,70,787,6,LAD,NYM,3,
Fernando Cruz,619,Teddy Blisblinne,652,2B,33,B3,2,1,2,2,15.51%,-15.51%,1,0,2B,70,787,6,LAD,NYM,3,
Jeorjhe Jerome,333,Teddy Blisblinne,609,K,276,B3,2,2,2,2,-6.07%,6.07%,0,0,K,70,787,6,LAD,NYM,3,
Boof Boog,300,Artie Ziff,387,BB,87,T4,0,2,2,0,4.87%,-4.87%,0,0,BB,70,788,6,NYM,LAD,3,
Markese Rolle,902,Artie Ziff,87,K,185,T4,0,2,2,1,-3.97%,3.97%,0,0,K,70,788,6,NYM,LAD,3,
Ethyn Williams,319,Artie Ziff,509,K,190,T4,1,2,2,1,-5.74%,5.74%,0,0,K,70,788,6,NYM,LAD,3,
Dig Bick,,Artie Ziff,,Auto K,,T4,2,2,2,1,-5.26%,5.26%,0,0,Auto K,70,788,6,NYM,LAD,3,
Jasmine,330,Teddy Blisblinne,521,FO,191,B4,0,2,2,0,-3.93%,3.93%,0,0,FO,70,789,6,LAD,NYM,3,
Federal Credit Union Boi,69,Teddy Blisblinne,978,1B,91,B4,1,2,2,0,4.78%,-4.78%,0,0,1B,70,789,6,LAD,NYM,3,
Chad Berry,370,Teddy Blisblinne,943,DP,427,B4,1,2,2,1,-10.93%,10.93%,0,0,RGO,70,789,6,LAD,NYM,3,
Kimberly Jongun,212,Artie Ziff,5,K,207,T5,0,2,2,0,-4.71%,4.71%,0,0,K,70,790,6,NYM,LAD,3,
Joe Watson,275,Artie Ziff,712,RGO,437,T5,1,2,2,0,-4.48%,4.48%,0,0,RGO,70,790,6,NYM,LAD,3,
Cue Anon,68,Artie Ziff,819,K,249,T5,2,2,2,0,-3.27%,3.27%,0,0,K,70,790,6,NYM,LAD,3,
Clipper Charge,472,Angel Leon,300,FO,172,B5,0,2,2,0,-4.39%,4.39%,0,0,FO,70,791,6,LAD,NYM,3,
Ted James III,817,Angel Leon,635,FO,182,B5,1,2,2,0,-4.77%,4.77%,0,0,FO,70,791,6,LAD,NYM,3,
Scotty Smalls,219,Angel Leon,898,K,321,B5,2,2,2,0,-3.05%,3.05%,0,0,K,70,791,6,LAD,NYM,3,
Johnny Dickshot,690,Artie Ziff,123,RGO,433,T6,0,2,2,0,-6.10%,6.10%,0,0,RGO,70,792,6,NYM,LAD,3,
Jay Money,433,Artie Ziff,1,RGO,432,T6,1,2,2,0,-5.86%,5.86%,0,0,RGO,70,792,6,NYM,LAD,3,
Boof Boog,2,Artie Ziff,781,K,221,T6,2,2,2,0,-4.85%,4.85%,0,0,K,70,792,6,NYM,LAD,3,
Bo-Horse Jackman,,Angel Leon,,Auto BB,,B6,0,2,2,0,5.96%,-5.96%,0,0,Auto BB,70,793,6,LAD,NYM,3,
Fernando Cruz,449,Angel Leon,299,FO,150,B6,0,2,2,1,-6.24%,6.24%,0,0,FO,70,793,6,LAD,NYM,3,
Maxo Caluow,4,Angel Leon,300,K,296,B6,1,2,2,1,-7.65%,7.65%,0,0,K,70,793,6,LAD,NYM,3,
Jasmine,669,Angel Leon,601,1B,68,B6,2,2,2,1,5.09%,-5.09%,0,0,1B,70,793,6,LAD,NYM,3,
Federal Credit Union Boi,569,Angel Leon,999,RGO,430,B6,2,2,2,5,-30.12%,30.12%,0,0,RGO,70,793,6,LAD,NYM,3,
Markese Rolle,6,Artie Ziff,777,K,229,T7,0,2,2,2,-9.85%,9.85%,0,0,K,70,794,6,NYM,LAD,3,
Ethyn Williams,841,Artie Ziff,357,LGO,484,T7,1,2,2,2,-10.04%,10.04%,0,0,LGO,70,794,6,NYM,LAD,3,
Caleb Athen,56,Artie Ziff,31,HR,25,T7,2,2,2,2,42.29%,-42.29%,2,1,HR,70,794,6,NYM,LAD,3,
Kimberly Jongun,257,Artie Ziff,569,K,312,T7,2,2,4,0,-13.27%,13.27%,0,0,K,70,794,6,NYM,LAD,3,
Chad Berry,540,Angel Leon,701,FO,161,B7,0,2,4,2,-9.85%,9.85%,0,0,FO,70,795,6,LAD,NYM,3,
Clipper Charge,666,Angel Leon,929,K,263,B7,1,2,4,2,-8.36%,8.36%,0,0,K,70,795,6,LAD,NYM,3,
Ted James III,513,Angel Leon,501,HR,12,B7,2,2,4,2,48.32%,-48.32%,2,1,HR,70,795,6,LAD,NYM,3,
Scotty Smalls,420,Angel Leon,788,PO,368,B7,2,4,4,0,-39.06%,39.06%,0,0,PO,70,795,6,LAD,NYM,3,
Joe Watson,675,Ronald Eagle Sr.,750,1B,75,T8,0,4,4,6,7.13%,-7.13%,1,1,1B,70,796,6,NYM,LAD,3,
Cue Anon,666,Ronald Eagle Sr.,750,1B,84,T8,0,4,5,5,3.21%,-3.21%,1,0,1B,70,796,6,NYM,LAD,3,
Johnny Dickshot,581,Ronald Eagle Sr.,800,FO,219,T8,0,4,6,4,-1.98%,1.98%,0,0,FO,70,796,6,NYM,LAD,3,
Jay Money,276,Ronald Eagle Sr.,200,1B,76,T8,1,4,6,4,3.06%,-3.06%,0,0,1B,70,796,6,NYM,LAD,3,
Boof Boog,990,Ronald Eagle Sr.,750,Sac,240,T8,1,4,6,7,-0.09%,0.09%,1,0,FO,70,796,6,NYM,LAD,3,
Markese Rolle,9,Ronald Eagle Sr.,600,RGO,409,T8,2,4,7,4,-24.40%,24.40%,0,0,RGO,70,796,6,NYM,LAD,3,
Bo-Horse Jackman,201,Angel Leon,212,HR,11,B8,0,4,7,6,37.98%,-37.98%,3,1,HR,70,797,6,LAD,NYM,3,
Fernando Cruz,419,Angel Leon,198,FO,221,B8,0,7,7,0,-6.12%,6.12%,0,0,FO,70,797,6,LAD,NYM,3,
Maxo Caluow,205,Angel Leon,500,K,295,B8,1,7,7,0,-5.87%,5.87%,0,0,K,70,797,6,LAD,NYM,3,
Clifton Outlaw,901,Angel Leon,400,LGO,499,B8,2,7,7,0,-38.88%,38.88%,0,0,LGO,70,797,6,LAD,NYM,3,
Ethyn Williams,15,Ronald Eagle Sr.,400,K,385,T9,0,7,7,7,-6.23%,6.23%,0,0,K,70,798,6,NYM,LAD,3,
Caleb Athen,600,Ronald Eagle Sr.,300,K,300,T9,1,7,7,7,-24.11%,24.11%,0,0,K,70,798,6,NYM,LAD,3,
Kimberly Jongun,192,Ronald Eagle Sr.,266,1B,74,T9,2,7,7,7,36.34%,-36.34%,2,1,1B,70,798,6,NYM,LAD,3,
Joe Watson,750,Ronald Eagle Sr.,800,2B,50,T9,2,7,9,5,8.10%,-8.10%,2,0,2B,70,798,6,NYM,LAD,3,
Cue Anon,800,Ronald Eagle Sr.,400,RGO,400,T9,2,7,11,2,-19.72%,19.72%,0,0,RGO,70,798,6,NYM,LAD,3,
Todd Bonzalez II,725,Angel Leon,107,K,382,B9,0,7,11,7,-5.84%,5.84%,0,0,K,70,799,6,LAD,NYM,3,
Chad Berry,460,Angel Leon,589,BB,129,B9,1,7,11,7,11.25%,-11.25%,1,0,BB,70,799,6,LAD,NYM,3,
Clipper Charge,768,Angel Leon,999,Sac,231,B9,1,8,11,7,-13.65%,13.65%,1,0,FO,70,799,6,LAD,NYM,3,
Ted James III,452,Angel Leon,600,BB,148,B9,2,9,11,4,9.70%,-9.70%,0,0,BB,70,799,6,LAD,NYM,3,
Scotty Smalls,823,Angel Leon,600,FO,223,B9,2,9,11,7,-23.25%,23.25%,0,0,FO,70,799,6,LAD,NYM,3,
Demondre Bradford,186,Hudson Hildebrandt,890,K,296,T1,0,0,0,0,-2.52%,2.52%,0,0,K,71,800,6,MTL,PHI,3,
Phil Coulson,868,Hudson Hildebrandt,279,RGO,411,T1,1,0,0,0,-2.51%,2.51%,0,0,RGO,71,800,6,MTL,PHI,3,
King Fielder,500,Hudson Hildebrandt,100,K,400,T1,2,0,0,0,-1.75%,1.75%,0,0,K,71,800,6,MTL,PHI,3,
Charlie Bae Jr.,678,Thomas Beowulf,918,FO,240,B1,0,0,0,0,-2.73%,2.73%,0,0,FO,71,801,6,PHI,MTL,3,
Tommy Brown,188,Thomas Beowulf,222,HR,34,B1,1,0,0,0,11.04%,-11.04%,1,1,HR,71,801,6,PHI,MTL,3,
Scottish Tweegy,540,Thomas Beowulf,333,FO,207,B1,1,1,0,0,-1.77%,1.77%,0,0,FO,71,801,6,PHI,MTL,3,
Chuck Tingle,281,Thomas Beowulf,455,FO,174,B1,2,1,0,0,-1.56%,1.56%,0,0,FO,71,801,6,PHI,MTL,3,
Zachary Benz,762,Hudson Hildebrandt,820,2B,58,T2,0,1,0,0,7.86%,-7.86%,0,0,2B,71,802,6,MTL,PHI,3,
Matt Verdin,520,Hudson Hildebrandt,840,K,320,T2,0,1,0,2,-5.31%,5.31%,0,0,K,71,802,6,MTL,PHI,3,
Trey Rangers,65,Hudson Hildebrandt,980,1B,85,T2,1,1,0,2,9.53%,-9.53%,0,0,1B,71,802,6,MTL,PHI,3,
Doob Tuber,745,Hudson Hildebrandt,100,K,355,T2,1,1,0,5,-11.98%,11.98%,0,0,K,71,802,6,MTL,PHI,3,
Sadler Oriole,315,Hudson Hildebrandt,680,K,365,T2,2,1,0,5,-7.62%,7.62%,0,0,K,71,802,6,MTL,PHI,3,
Willie Dustice,380,Thomas Beowulf,607,FO,227,B2,0,1,0,0,-2.16%,2.16%,0,0,FO,71,803,6,PHI,MTL,3,
Storm Johnson,,Thomas Beowulf,,Auto K,,B2,1,1,0,0,-2.22%,2.22%,0,0,Auto K,71,803,6,PHI,MTL,3,
KC Bats,69,Thomas Beowulf,535,LGO,466,B2,2,1,0,0,-1.40%,1.40%,0,0,LGO,71,803,6,PHI,MTL,3,
Ben Bramly,915,Hudson Hildebrandt,370,RGO,455,T3,0,1,0,0,-3.61%,3.61%,0,0,RGO,71,804,6,MTL,PHI,3,
Demondre Bradford,593,Hudson Hildebrandt,840,K,247,T3,1,1,0,0,-3.13%,3.13%,0,0,K,71,804,6,MTL,PHI,3,
Phil Coulson,738,Hudson Hildebrandt,780,2B,42,T3,2,1,0,0,3.84%,-3.84%,0,1,2B,71,804,6,MTL,PHI,3,
King Fielder,104,Hudson Hildebrandt,130,HR,26,T3,2,1,0,2,24.76%,-24.76%,2,1,HR,71,804,6,MTL,PHI,3,
Zachary Benz,689,Hudson Hildebrandt,130,RGO,441,T3,2,1,2,0,-1.57%,1.57%,0,0,RGO,71,804,6,MTL,PHI,3,
Miguel Snow,572,Thomas Beowulf,720,FO,148,B3,0,1,2,0,-4.00%,4.00%,0,0,FO,71,805,6,PHI,MTL,3,
Fly Spaceman,820,Thomas Beowulf,69,FO,249,B3,1,1,2,0,-3.30%,3.30%,0,0,FO,71,805,6,PHI,MTL,3,
Charlie Bae Jr.,545,Thomas Beowulf,583,2B,38,B3,2,1,2,0,4.53%,-4.53%,0,1,2B,71,805,6,PHI,MTL,3,
Jackson Takegi,738,Benjamin Abenduct,691,2B,47,B3,2,1,2,2,15.51%,-15.51%,1,0,2B,71,805,6,PHI,MTL,3,
Scottish Tweegy,50,Benjamin Abenduct,525,LGO,475,B3,2,2,2,2,-6.07%,6.07%,0,0,LGO,71,805,6,PHI,MTL,3,
Matt Verdin,121,Joel Embiid,242,1B,121,T4,0,2,2,0,4.87%,-4.87%,0,1,1B,71,806,6,MTL,PHI,3,
Trey Rangers,217,Joel Embiid,343,1B,126,T4,0,2,2,1,9.49%,-9.49%,0,1,1B,71,806,6,MTL,PHI,3,
Doob Tuber,237,Joel Embiid,121,BB,116,T4,0,2,2,4,9.64%,-9.64%,0,1,BB,71,806,6,MTL,PHI,3,
Sadler Oriole,738,Joel Embiid,738,HR,0,T4,0,2,2,7,18.02%,-18.02%,4,1,HR,71,806,6,MTL,PHI,3,
Ben Bramly,318,Joel Embiid,283,3B,35,T4,0,2,6,0,2.75%,-2.75%,0,1,3B,71,806,6,MTL,PHI,3,
Demondre Bradford,258,Oliver Yu,231,HR,27,T4,0,2,6,3,2.35%,-2.35%,2,1,HR,71,806,6,MTL,PHI,3,
Phil Coulson,318,Oliver Yu,590,FO,272,T4,0,2,8,0,0.04%,-0.04%,0,0,FO,71,806,6,MTL,PHI,3,
King Fielder,720,Oliver Yu,621,1B,99,T4,1,2,8,0,0.26%,-0.26%,0,0,1B,71,806,6,MTL,PHI,3,
Zachary Benz,728,Oliver Yu,281,DP,447,T4,1,2,8,1,-0.70%,0.70%,0,0,LGO,71,806,6,MTL,PHI,3,
Chuck Tingle,666,Benjamin Abenduct,17,PO,351,B4,0,2,8,0,-0.78%,0.78%,0,0,PO,71,807,6,PHI,MTL,3,
Willie Dustice,711,Benjamin Abenduct,527,FO,184,B4,1,2,8,0,-0.78%,0.78%,0,0,FO,71,807,6,PHI,MTL,3,
Jeff Dingerhitter,423,Benjamin Abenduct,371,2B,52,B4,2,2,8,0,0.89%,-0.89%,0,0,2B,71,807,6,PHI,MTL,3,
KC Bats,738,Benjamin Abenduct,24,FO,286,B4,2,2,8,2,-2.58%,2.58%,0,0,FO,71,807,6,PHI,MTL,3,
Carlos Brownson,522,Silver Edgeworth,500,3B,22,T1,0,0,0,0,11.37%,-11.37%,0,1,3B,72,808,6,KCR,BOS,3,
Jeffrey LaVert,625,Silver Edgeworth,143,LGO,482,T1,0,0,0,3,-3.36%,3.36%,1,0,LGO,72,808,6,KCR,BOS,3,
Slapshot Brady,333,Silver Edgeworth,981,PO,352,T1,1,0,1,0,-1.89%,1.89%,0,0,PO,72,808,6,KCR,BOS,3,
Mako Bierman,734,Silver Edgeworth,723,HR,11,T1,2,0,1,0,10.54%,-10.54%,1,1,HR,72,808,6,KCR,BOS,3,
Tyler Gordon,125,Silver Edgeworth,185,2B,60,T1,2,0,2,0,1.78%,-1.78%,0,0,2B,72,808,6,KCR,BOS,3,
Rob Patterson,51,Silver Edgeworth,362,K,311,T1,2,0,2,2,-3.32%,3.32%,0,0,K,72,808,6,KCR,BOS,3,
Oscar Vegas,300,Mongy Whumpus,517,FO,217,B1,0,0,2,0,-2.77%,2.77%,0,0,FO,72,809,6,BOS,KCR,3,
Eric Leeder,10,Mongy Whumpus,823,BB,187,B1,1,0,2,0,3.47%,-3.47%,0,0,BB,72,809,6,BOS,KCR,3,
Rusty Shackleford,214,Mongy Whumpus,798,DP,416,B1,1,0,2,1,-7.66%,7.66%,0,0,RGO,72,809,6,BOS,KCR,3,
Teo Jones,750,Silver Edgeworth,233,LGO,483,T2,0,0,2,0,-1.87%,1.87%,0,0,LGO,72,810,6,KCR,BOS,3,
Dart Ragusa,750,Silver Edgeworth,485,RGO,265,T2,1,0,2,0,-1.76%,1.76%,0,0,RGO,72,810,6,KCR,BOS,3,
Jack Meloy,806,Silver Edgeworth,616,FO,190,T2,2,0,2,0,-1.44%,1.44%,0,0,FO,72,810,6,KCR,BOS,3,
Larry Longshot,382,Mongy Whumpus,355,HR,27,B2,0,0,2,0,11.66%,-11.66%,1,1,HR,72,811,6,BOS,KCR,3,
Michael Voorhees,199,Mongy Whumpus,26,BB,173,B2,0,1,2,0,4.77%,-4.77%,0,0,BB,72,811,6,BOS,KCR,3,
Nate Lewis,39,Mongy Whumpus,878,BB,161,B2,0,1,2,1,7.82%,-7.82%,0,0,BB,72,811,6,BOS,KCR,3,
Grigury Polinko,,Mongy Whumpus,,Auto K,,B2,0,1,2,4,-5.59%,5.59%,0,0,Auto K,72,811,6,BOS,KCR,3,
Barney Turbo,478,Mongy Whumpus,915,DP,437,B2,1,1,2,4,-15.34%,15.34%,0,0,RGO,72,811,6,BOS,KCR,3,
Carlos Brownson,984,Silver Edgeworth,770,FO,214,T3,0,1,2,0,-2.77%,2.77%,0,0,FO,72,812,6,KCR,BOS,3,
Jeffrey LaVert,450,Silver Edgeworth,116,PO,334,T3,1,1,2,0,-2.57%,2.57%,0,0,PO,72,812,6,KCR,BOS,3,
Slapshot Brady,447,Silver Edgeworth,987,LGO,460,T3,2,1,2,0,-1.57%,1.57%,0,0,LGO,72,812,6,KCR,BOS,3,
Ben Beezle,321,Mongy Whumpus,455,BB,134,B3,0,1,2,0,5.56%,-5.56%,0,0,BB,72,813,6,BOS,KCR,3,
Oscar Vegas,171,Mongy Whumpus,395,FO,224,B3,0,1,2,1,-4.26%,4.26%,0,0,FO,72,813,6,BOS,KCR,3,
Ben Beezle,781,Mongy Whumpus,701,SB,80,B3,1,1,2,1,1.93%,-1.93%,0,0,SB,72,813,6,BOS,KCR,3,
Eric Leeder,450,Mongy Whumpus,757,K,307,B3,1,1,2,2,-6.00%,6.00%,0,0,K,72,813,6,BOS,KCR,3,
Rusty Shackleford,717,Mongy Whumpus,863,BB,146,B3,2,1,2,2,2.41%,-2.41%,0,0,BB,72,813,6,BOS,KCR,3,
Larry Longshot,411,Mongy Whumpus,83,K,328,B3,2,1,2,4,-9.23%,9.23%,0,0,K,72,813,6,BOS,KCR,3,
Mako Bierman,,Silver Edgeworth,,Auto BB,,T4,0,1,2,0,3.74%,-3.74%,0,1,Auto BB,72,814,6,KCR,BOS,3,
Tyler Gordon,517,Silver Edgeworth,568,2B,51,T4,0,1,2,1,11.82%,-11.82%,0,1,2B,72,814,6,KCR,BOS,3,
Rob Patterson,420,Silver Edgeworth,362,2B,58,T4,0,1,2,6,8.02%,-8.02%,2,0,2B,72,814,6,KCR,BOS,3,
Teo Jones,819,Silver Edgeworth,633,FO,186,T4,0,1,4,2,-2.30%,2.30%,0,0,FO,72,814,6,KCR,BOS,3,
Dart Ragusa,500,Silver Edgeworth,289,K,211,T4,1,1,4,2,-1.43%,1.43%,0,0,K,72,814,6,KCR,BOS,3,
Jack Meloy,225,Silver Edgeworth,883,K,342,T4,2,1,4,2,-2.85%,2.85%,0,0,K,72,814,6,KCR,BOS,3,
Michael Voorhees,628,Mongy Whumpus,284,K,344,B4,0,1,4,0,-3.22%,3.22%,0,0,K,72,815,6,BOS,KCR,3,
Nate Lewis,673,Mongy Whumpus,479,FO,194,B4,1,1,4,0,-2.60%,2.60%,0,0,FO,72,815,6,BOS,KCR,3,
Grigury Polinko,42,Mongy Whumpus,876,BB,166,B4,2,1,4,0,1.92%,-1.92%,0,0,BB,72,815,6,BOS,KCR,3,
Barney Turbo,500,Mongy Whumpus,157,K,343,B4,2,1,4,1,-3.59%,3.59%,0,0,K,72,815,6,BOS,KCR,3,
Carlos Brownson,163,Silver Edgeworth,234,1B,71,T5,0,1,4,0,1.20%,-1.20%,0,1,1B,72,816,6,KCR,BOS,3,
Jeffrey LaVert,327,Silver Edgeworth,980,PO,347,T5,0,1,4,1,-1.17%,1.17%,0,0,PO,72,816,6,KCR,BOS,3,
Slapshot Brady,1,Silver Edgeworth,980,HR,21,T5,1,1,4,1,6.26%,-6.26%,2,1,HR,72,816,6,KCR,BOS,3,
Garren Smudge,319,Silver Edgeworth,657,K,338,T5,1,1,6,0,-0.14%,0.14%,0,0,K,72,816,6,KCR,BOS,3,
Tyler Gordon,315,Silver Edgeworth,383,2B,68,T5,2,1,6,0,0.03%,-0.03%,0,0,2B,72,816,6,KCR,BOS,3,
Rob Patterson,816,Silver Edgeworth,999,FO,183,T5,2,1,6,2,-0.50%,0.50%,0,0,FO,72,816,6,KCR,BOS,3,
Ben Beezle,,Mongy Whumpus,,Auto BB,,B5,0,1,6,0,2.13%,-2.13%,0,0,Auto BB,72,817,6,BOS,KCR,3,
Oscar Vegas,599,Bronske Jones,13,DP,414,B5,0,1,6,1,-4.30%,4.30%,0,0,RGO,72,817,6,BOS,KCR,3,
Eric Leeder,120,Bronske Jones,389,FO,269,B5,2,1,6,0,-0.38%,0.38%,0,0,FO,72,817,6,BOS,KCR,3,
Teo Jones,500,Silver Edgeworth,224,K,276,T6,0,1,6,0,-0.16%,0.16%,0,0,K,72,818,6,KCR,BOS,3,
Lloyd Gross,727,Silver Edgeworth,333,RGO,394,T6,1,1,6,0,0.01%,-0.01%,0,0,RGO,72,818,6,KCR,BOS,3,
Tommy Oldman,650,Silver Edgeworth,398,FO,252,T6,2,1,6,0,-0.14%,0.14%,0,0,FO,72,818,6,KCR,BOS,3,
Rusty Shackleford,767,Bronske Jones,684,1B,83,B6,0,1,6,0,1.73%,-1.73%,0,1,1B,72,819,6,BOS,KCR,3,
Larry Longshot,112,Bronske Jones,889,FO,223,B6,0,1,6,1,-1.73%,1.73%,0,0,FO,72,819,6,BOS,KCR,3,
Michael Voorhees,211,Bronske Jones,238,3B,27,B6,1,1,6,1,0.80%,-0.80%,1,1,3B,72,819,6,BOS,KCR,3,
Nate Lewis,481,Bronske Jones,283,Sac,198,B6,1,2,6,3,-1.34%,1.34%,1,0,FO,72,819,6,BOS,KCR,3,
Jordan Peppers,212,Bronske Jones,283,1B,71,B6,2,3,6,0,1.46%,-1.46%,0,0,1B,72,819,6,BOS,KCR,3,
Barney Turbo,783,Bronske Jones,678,1B,105,B6,2,3,6,1,4.51%,-4.51%,0,0,1B,72,819,6,BOS,KCR,3,
Ben Beezle,109,Bronske Jones,218,BB,109,B6,2,3,6,5,8.18%,-8.18%,0,0,BB,72,819,6,BOS,KCR,3,
Oscar Vegas,299,Bronske Jones,986,K,313,B6,2,3,6,7,-14.89%,14.89%,0,0,K,72,819,6,BOS,KCR,3,
Tre Nichols,333,Richard Saks,633,K,300,T1,0,0,0,0,-2.52%,2.52%,0,0,K,73,820,7,STL,SDP,3,
Grimm Carp,954,Richard Saks,295,K,341,T1,1,0,0,0,-2.51%,2.51%,0,0,K,73,820,7,STL,SDP,3,
Buzz Schwinghammer,76,Richard Saks,413,K,337,T1,2,0,0,0,-1.75%,1.75%,0,0,K,73,820,7,STL,SDP,3,
Solf J. Kimblee,895,Filib Al'Anhar JR.,69,BB,174,B1,0,0,0,0,3.56%,-3.56%,0,0,BB,73,821,7,SDP,STL,3,
Dwayne Stevenson,920,Filib Al'Anhar JR.,775,FO,145,B1,0,0,0,1,-2.91%,2.91%,0,0,FO,73,821,7,SDP,STL,3,
Caleb Aiken,126,Filib Al'Anhar JR.,923,FO,203,B1,1,0,0,1,-4.14%,4.14%,0,0,FO,73,821,7,SDP,STL,3,
Benjamin Baeurkemper,24,Filib Al'Anhar JR.,874,BB,150,B1,2,0,0,1,2.80%,-2.80%,0,0,BB,73,821,7,SDP,STL,3,
Donked McToad,525,Filib Al'Anhar JR.,270,K,255,B1,2,0,0,4,-6.10%,6.10%,0,0,K,73,821,7,SDP,STL,3,
Stan Mann,777,Richard Saks,1,FO,224,T2,0,0,0,0,-2.86%,2.86%,0,0,FO,73,822,7,STL,SDP,3,
Connor Morgan,433,Richard Saks,732,K,299,T2,1,0,0,0,-2.89%,2.89%,0,0,K,73,822,7,STL,SDP,3,
Jack Jackie Jackson,666,Richard Saks,674,HR,8,T2,2,0,0,0,12.67%,-12.67%,1,1,HR,73,822,7,STL,SDP,3,
Clip Toller,456,Richard Saks,338,1B,118,T2,2,0,1,0,1.96%,-1.96%,0,0,1B,73,822,7,STL,SDP,3,
Dong Soto,,Richard Saks,,Auto K,,T2,2,0,1,1,-3.53%,3.53%,0,0,Auto K,73,822,7,STL,SDP,3,
